Instance,iteration,time,budget,Obj,interdiction
4,2,0.902029753,20,210,[   0    1    2    3    4    5    6    7   38   58  226  786 1455 1685 1707 1770 2547 2698 2731 2743]
4,3,1.417913675,20,210,[   0    1    2    3   29   38   58  182  226  786 1455 1685 1707 1770 2547 2666 2696 2698 2731 2743]
4,4,1.926384926,20,201,[   0    1    2   29   38   58  182  226  786 1455 1685 1707 1770 2545 2547 2666 2696 2698 2731 2743]
4,5,3.031784773,20,201,[   0    1    2   29   38   58  182  226  786 1455 1685 1707 1770 2545 2547 2666 2696 2698 2731 2743]
4,6,4.839824915,20,201,[   0    1    2   29   38   58  182  226  786 1455 1685 1707 1770 2545 2547 2666 2696 2698 2731 2743]
4,7,8.189977884,20,201,[   0    1    2   29   38   58  182  226  786 1455 1685 1707 1770 2545 2547 2666 2696 2698 2731 2743]
4,8,14.24604678,20,201,[   0    1    2   29   38   58  182  226  786 1455 1685 1707 1770 2545 2547 2666 2696 2698 2731 2743]
4,9,26.02422094,20,201,[   0   29   38   58  182  226  622  786 1455 1685 1707 1770 2545 2547 2666 2696 2698 2907 2915 2916]
4,10,26.90448689,20,201,[   0   38   58  182  203  786 1355 1707 1770 2545 2666 2698 2760 2909 2910 2911 2913 2914 2915 2916]
4,11,30.69764376,20,201,[   0   38   46   58  182  203  786 1355 1685 1707 1770 2545 2666 2698 2760 2912 2913 2914 2915 2916]
4,12,62.90837288,20,201,[   0   29   38   46   58  226  786 1455 1587 1685 1707 2545 2666 2696 2698 2731 2829 2905 2906 2914]
4,13,70.06346488,20,201,[   0   38   46   58  182  203  786 1174 1685 1707 1770 2545 2666 2698 2760 2912 2913 2914 2915 2916]
4,14,71.17006898,20,201,[   0   38   46   58  182  203  786 1355 1707 1770 2545 2666 2698 2731 2760 2912 2913 2914 2915 2916]
4,15,78.32851481,20,201,[   0   38   46   58  182  203  786 1355 1636 1685 1707 2545 2666 2698 2760 2797 2913 2914 2915 2916]
4,16,149.4067037,20,201,[   0   38   46   58  182  203  786 1355 1455 1610 1636 1685 1707 1739 2545 2666 2698 2760 2915 2916]
4,17,291.0552299,20,201,[   0   38   46   58  182  194  786 1610 1685 1707 1739 2545 2666 2698 2829 2912 2913 2914 2915 2916]
